ELID первой запись диапазона (по списку 4602 экспортированных из eLIBRARY.RU),ELID последней записи диапазона (по списку 4602 экспортированных из eLIBRARY.RU),Число записей в диапазоне,Комментарий для скринеров,Чистое время сокращенного первичного скрининга (только по заголовкам и без проставления шага) ПВЖ в минутах и секундах,Чистое время сокращенного первичного скрининга (только по заголовкам и без проставления шага) ПВЖ в секундах
29035987,28154181,147,"Соответствует странице 14 в PortoDB.",NA,NA
20502827,20206349,147,"Соответствует странице 20 в PortoDB.",NA,NA
28154183,22296453,147,"Соответствует странице 15 в PortoDB.",00:02:26.256,147
15617169,15140588,147,"Соответствует странице 27 в PortoDB.",04:18.61,259
17640474,17017116,147,"Соответствует странице 25 в PortoDB.",03:46.29,227
21074557,20506365,147,"Соответствует странице 19 в PortoDB.",04:28.95,269
17010878,15627935,147,"Соответствует странице 26 в PortoDB.",03:11.68,192
32538020,30580197,147,"Соответствует странице 11 в PortoDB.",02:56.07,177
18430161,17937417,147,"Соответствует странице 23 в PortoDB.",00:03:28:46,209
15141410,13048674,147,"Соответствует странице 28 в PortoDB.",00:04:01:22,242
9320989,9160048,147,"Соответствует странице 32 в PortoDB.",00:03:41:33,222
9139703,8386127,41,"Соответствует странице 33 в PortoDB.",,
,,147,"Соответствует странице 22 в PortoDB.",,
,,147,"Соответствует странице 21 в PortoDB.",,
,,147,"Соответствует странице 30 в PortoDB.",,
,,147,"Соответствует странице 31 в PortoDB.",,
,,147,"Соответствует странице 16 в PortoDB.",,
,,147,"Соответствует странице 24 в PortoDB.",,
,,147,"Соответствует странице 12 в PortoDB.",,
,,147,"Соответствует странице 13 в PortoDB.",,
,,147,"Соответствует странице 18 в PortoDB.",,
,,147,"Соответствует странице 17 в PortoDB.",,
,,147,"Соответствует странице 29 в PortoDB.",,
32538020,8386127,,"Mean",,
32538020,8386127,,"SD",,
32538020,8386127,,"95% CI Lower",,
32538020,8386127,,"95% CI Upper",,
32538020,8386127,,"Minimum",,
32538020,8386127,,"Median",,
32538020,8386127,,"Maximum",,
