key,notes
14628199," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 9 - НСО или НРИ [Records Excluded Step 9a NSR or NRS]"
11880843," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 9 - НСО или НРИ [Records Excluded Step 9a NSR or NRS]"
11148899," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 9 - НСО или НРИ [Records Excluded Step 9a NSR or NRS]"
10549705," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 9 - НСО или НРИ [Records Excluded Step 9a NSR or NRS]"
10472098," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 9 - НСО или НРИ [Records Excluded Step 9a NSR or NRS]"
9637621," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 9 - НСО или НРИ [Records Excluded Step 9a NSR or NRS]"
9460160," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 9 - НСО или НРИ [Records Excluded Step 9a NSR or NRS]"
8913955," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 9 - НСО или НРИ [Records Excluded Step 9a NSR or NRS]"
8814573," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 9 - НСО или НРИ [Records Excluded Step 9a NSR or NRS]"
7479408," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 9 - НСО или НРИ [Records Excluded Step 9a NSR or NRS]"
8178177," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 9 - НСО или НРИ [Records Excluded Step 9a NSR or NRS]"
8300651," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 9 - НСО или НРИ [Records Excluded Step 9a NSR or NRS]"
7874541," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 9 - НСО или НРИ [Records Excluded Step 9a NSR or NRS]"
8237236," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 9 - НСО или НРИ [Records Excluded Step 9a NSR or NRS]"
1553331," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 9 - НСО или НРИ [Records Excluded Step 9a NSR or NRS]"
1785100," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 9 - НСО или НРИ [Records Excluded Step 9a NSR or NRS]"
1439861," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 1 - фаза 0-1 [Records Excluded Step 1 Animal or Cadaver or Biomech or In Vitro or In Silico or Healthy]"
28323717," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 9 - НСО или НРИ [Records Excluded Step 9a NSR or NRS]"
28107241," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 9 - НСО или НРИ [Records Excluded Step 9a NSR or NRS]"
21604529," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 6 - осложненная травма [Records Excluded Step 6 TL Trauma SCI Present]"
27135451," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 1 - фаза 0-1 [Records Excluded Step 1 Animal or Cadaver or Biomech or In Vitro or In Silico or Healthy]"
18377319," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 1 - фаза 0-1 [Records Excluded Step 1 Animal or Cadaver or Biomech or In Vitro or In Silico or Healthy]"
19404687," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 1 - фаза 0-1 [Records Excluded Step 1 Animal or Cadaver or Biomech or In Vitro or In Silico or Healthy]"
27005301," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 1 - фаза 0-1 [Records Excluded Step 1 Animal or Cadaver or Biomech or In Vitro or In Silico or Healthy]"
28247080," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 8a - не та хирургия [Records Excluded Step 8a Surgery Not Directly Relevant]"
9882919," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 8a - не та хирургия [Records Excluded Step 8a Surgery Not Directly Relevant]"
25813011," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 1 - фаза 0-1 [Records Excluded Step 1 Animal or Cadaver or Biomech or In Vitro or In Silico or Healthy]"
27646696," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 8a - не та хирургия [Records Excluded Step 8a Surgery Not Directly Relevant]"
19412024," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 6b - последствия травм [Records Excluded Step 6b Late TL Trauma]"
9755762," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 8a - не та хирургия [Records Excluded Step 8a Surgery Not Directly Relevant]"
9051896," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 8a - не та хирургия [Records Excluded Step 8a Surgery Not Directly Relevant]"
26306404," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 8 - не хирургия [Records Excluded Step 8 No Surgery in the Spine]"
25457338," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 8 - не хирургия [Records Excluded Step 8 No Surgery in the Spine]"
24845086," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 7 - ВП [Records Excluded Step 7 VA or RFA]"
10374468," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 8a - не та хирургия [Records Excluded Step 8a Surgery Not Directly Relevant]"
25953526," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 6b - последствия травм [Records Excluded Step 6b Late TL Trauma]"
14634854," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 1 - фаза 0-1 [Records Excluded Step 1 Animal or Cadaver or Biomech or In Vitro or In Silico or Healthy]"
18040702," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 6 - осложненная травма [Records Excluded Step 6 TL Trauma SCI Present]"
22366970," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 5c - не травма [Records Excluded Step 5c TL Spine Other Than Trauma]"
29477004," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 4a - шея [Records Excluded Step 4a Adult C-Spine]"
20189171," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 8a - не та хирургия [Records Excluded Step 8a Surgery Not Directly Relevant]"
